timestamp,progressStatus,recordedAtTime,directionRef,journeyPatternRef,bearing,progressRate,vehicleRef,longitude,latitude
1580209201,layover,2020-01-28T06:00:07-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_369,-73.967637,40.70693
1580209201,,2020-01-28T06:00:10-05:00,1,MTA_B670134,280.8677,normalProgress,MTA NYCT_375,-73.979854,40.644992
1580209201,,2020-01-28T05:57:59-05:00,0,MTA_B670127,158.9625,normalProgress,MTA NYCT_418,-73.982684,40.688436
1580209201,,2020-01-28T06:00:19-05:00,0,MTA_B670127,50.082508,normalProgress,MTA NYCT_466,-73.980864,40.667734
1580209201,,2020-01-28T05:59:53-05:00,0,MTA_B670127,280.3955,normalProgress,MTA NYCT_365,-73.978841,40.63812
1580209261,,2020-01-28T06:00:40-05:00,1,MTA_B670134,280.74924,normalProgress,MTA NYCT_375,-73.979511,40.643183
1580209261,,2020-01-28T06:00:58-05:00,0,MTA_B670127,100.850105,normalProgress,MTA NYCT_365,-73.97871,40.639178
1580209261,,2020-01-28T06:01:20-05:00,0,MTA_B670127,49.94548,normalProgress,MTA NYCT_466,-73.9794,40.66948
1580209261,,2020-01-28T06:01:08-05:00,1,MTA_B670134,291.92178,normalProgress,MTA NYCT_369,-73.967096,40.706487
1580209261,,2020-01-28T06:01:18-05:00,1,MTA_B670134,308.29016,normalProgress,MTA NYCT_762,-73.979743,40.6872
1580209321,,2020-01-28T06:02:08-05:00,1,MTA_B670134,212.79953,normalProgress,MTA NYCT_369,-73.966861,40.704443
1580209321,,2020-01-28T06:02:13-05:00,1,MTA_B670134,280.4507,normalProgress,MTA NYCT_375,-73.979048,40.63924
1580209321,,2020-01-28T06:02:20-05:00,0,MTA_B670127,50.175396,normalProgress,MTA NYCT_466,-73.977857,40.67132
1580209321,,2020-01-28T06:01:59-05:00,0,MTA_B670127,102.070274,normalProgress,MTA NYCT_365,-73.979236,40.641874
1580209321,,2020-01-28T06:01:18-05:00,1,MTA_B670134,308.29016,normalProgress,MTA NYCT_762,-73.979743,40.6872
1580209382,layover,2020-01-28T06:03:22-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580209382,,2020-01-28T06:03:03-05:00,0,MTA_B670127,102.070274,normalProgress,MTA NYCT_365,-73.979516,40.643182
1580209382,,2020-01-28T06:03:10-05:00,1,MTA_B670134,212.79953,normalProgress,MTA NYCT_369,-73.967169,40.704245
1580209382,,2020-01-28T06:03:14-05:00,1,MTA_B670134,280.4507,normalProgress,MTA NYCT_375,-73.979019,40.639083
1580209382,,2020-01-28T06:03:20-05:00,0,MTA_B670127,54.532166,normalProgress,MTA NYCT_466,-73.976272,40.673334
1580209382,,2020-01-28T06:03:07-05:00,1,MTA_B670134,306.322,normalProgress,MTA NYCT_762,-73.976081,40.682153
1580209441,,2020-01-28T06:04:07-05:00,0,MTA_B670127,101.06875,normalProgress,MTA NYCT_365,-73.980246,40.647036
1580209441,layover,2020-01-28T06:03:52-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580209441,,2020-01-28T06:04:15-05:00,1,MTA_B670134,280.4507,normalProgress,MTA NYCT_375,-73.979019,40.639083
1580209441,,2020-01-28T06:04:11-05:00,1,MTA_B670134,306.322,normalProgress,MTA NYCT_762,-73.975585,40.681478
