project_id,project_description,managing_agency_id,managing_agency,ten_year_plan_category,community_boards_served,borough,budget_lines,original_budget,city_prior_actuals,city2021,city2022,city2023,city2024,city2025,city_r_t_c,city_total,non_city_prior_actuals,non_city2021,non_city2022,non_city2023,non_city2024,non_city2025,non_city_r_t_c,non_city_total,combined_prior_actuals,combined2021,combined2022,combined2023,combined2024,combined2025,combined_r_t_c,combined_total,explanation_for_delay,project_location,scope_summary,source_pdf
LBP18PCAD,PACIFIC ADA COMPLIANCE,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,306,BROOKLYN,LB-0101 LB-D104,3500,0,0,0,0,3725,0,0,3725,0,0,0,0,0,0,0,0,0,0,0,0,3725,0,0,3725,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,PACIFIC ADA COMPLIANCE,cpd11-20bk.pdf
HH112PREK,RENOVATION AND IMPROVEMENTS TO THE PARK SLOPE ARMORY,071,DEPT OF HOMELESS SERVICES,SHELTERS FOR HOMELESS INDIVIDUALS,306,BROOKLYN,HH-D025,1500,0,0,1500,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,1500,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,PARK SLOPE ARMORY-REHABILITATION OF ROOMS FOR PRE-K PROGRAM,cpd11-20bk.pdf
HH112PSR1,PARK SLOPE - ROOF REPLACEMENT,071,DEPT OF HOMELESS SERVICES,SHELTERS FOR HOMELESS INDIVIDUALS,306,BROOKLYN,HH-0112,5250,3719,450,0,0,0,0,0,4169,0,0,0,0,0,0,0,0,3719,450,0,0,0,0,0,4169,NA,NA,PARK SLOPE - ROOF REPLACEMENT,cpd11-20bk.pdf
BKCRUISE,Brooklyn Cruise Terminal Substructre Rehab,801,DEPT OF SMALL BUSINESS SERVICES,PORT DEVELOPMENT,306,BROOKLYN,ED-K409 ED-0409,5000,0,0,0,0,0,2700,836,3536,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,836,3536,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,BROOKLYN CRUISE TERMINAL SUBSTRUCTRE REHAB,cpd11-20bk.pdf
PROSPPLC,Prospect Park Lakeside Center,801,DEPT OF SMALL BUSINESS SERVICES,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",306 307 308 309 314 300,BROOKLYN,P-0245K P-D017,31313,48087,0,0,0,48,0,0,48135,2487,0,0,0,0,0,0,2487,50574,0,0,0,48,0,0,50622,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,PROSPECT PARK LAKESIDE CENTER - ICE RINK AND LANDSCAPING,cpd11-20bk.pdf
REDHOOK,Red Hook Library,801,DEPT OF SMALL BUSINESS SERVICES,MISCELLANEOUS,306 300,BROOKLYN,LB-D104 LB-0104,2835,1077,0,14471,0,0,0,0,15548,0,0,0,0,0,0,0,0,1077,0,14471,0,0,0,0,15548,NA,NA,RED HOOK LIBRARY,cpd11-20bk.pdf
SANDBCT,EDC - Hurricane Sandy - BCT Repairs,801,DEPT OF SMALL BUSINESS SERVICES,MISCELLANEOUS,306 307,BROOKLYN,ED-0404,3000,0,0,0,300,0,0,0,300,0,0,0,2700,0,0,0,2700,0,0,0,3000,0,0,0,3000,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,REPAIRS AT THE BCT PROJECT AS A RESULT OF HURRICANE SANDY,cpd11-20bk.pdf
HAM10WYCR,WYCKOFF GARDENS COMMUNITY ROOM,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,450,0,641,0,0,0,0,0,641,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0,641,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,WYCKOFF GARDENS COMMUNITY ROOM,cpd11-20bk.pdf
HAM12WYCC,WYCKOFF GARDENS COMMUNITY CENTER UPGRADE,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,150,0,810,0,0,0,0,0,810,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,810,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,NA,"UPGRADES TO INCLUDE CLASSROOMS, OPEN SHOP AREA AND OFFICES",cpd11-20bk.pdf
HAM15GOGR,GOWANUS HOUSES BASKETBALL COURT AND PLAY AREA,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,150,0,150,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,150,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,BASKETBALL COURT AND PLAY AREA,cpd11-20bk.pdf
HAM18WKCC,WYCKOFF GARDENS COMMUNITY CENTER RENOVATION,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,414,0,414,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,414,NA,NA,WYCKOFF GARDENS COMMUNITY CENTER RENOVATION,cpd11-20bk.pdf
HAM18WKLG,WYCKOFF GARDENS LIGHTING,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,300,0,300,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,300,NA,NA,INSTALLATION OF LIGHTING AT WYCKOFF GARDENS,cpd11-20bk.pdf
HAM20GHLC,LED LIGHTING AND CAMERAS GOWANUS HOUSES,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,150,0,150,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,150,NA,NA,GOWANUS HOUSES -- LED LIGHTING AND CAMERAS,cpd11-20bk.pdf
HAM20WRCS,WYCKOFF GARDENS - RENOVATION OF COMMUNITY SPACE,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,2500,0,2500,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,2500,NA,NA,"WYCKOFF GARDENS -- FUNDING FOR RENOVATIONS OF COMMUNITY SPACES, LIGHTING, CAMERAS AND",cpd11-20bk.pdf
SEK002390,Guniting of Outfall Sewers on Wolcott St BKLYN,826,DEPT ENVIRONMENTAL PROTECTION,REPLACEMENT OR AUGMENTATION OF EXISTING SYSTEMS,306,BROOKLYN,SE-0002K,1469,0,0,1304,0,0,0,0,1304,0,0,0,0,0,0,0,0,0,0,1304,0,0,0,0,1304,NA,NA,"REHABILITATION OF 72"" CIRCULAR BRICK OUTFALL SEWER BY GUNITING ALONG WOLCOTT STREET",cpd11-20bk.pdf
HBK1213,"RECON UNION ST BRIDGE OVER GOWANUS CANAL, BROOKLYN 2-24027-0",841,DEPARTMENT OF TRANSPORTATION,BRIDGE LIFE EXTENSION AND MISCELLANEOUS WORK,306,BROOKLYN,HB-1213,69010,3654,0,0,0,0,0,47871,51525,0,0,0,0,0,0,0,0,3654,0,0,0,0,0,47871,51525,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,"RECONSTRUCT UNION STREET BRIDGE OVER GOWANUS CANAL, BROOKLYN","RECONSTRUCT UNION STREET BRIDGE OVER GOWANUS CANAL, BROOKLYN",cpd11-20bk.pdf
P-200CRSL,PPA- Recon. Carousel (B073-218M),846,DEPT OF PARKS AND RECREATION,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",300 306 307 308 309 314,BROOKLYN,P-D017,500,168,422,0,0,0,0,0,590,0,0,0,0,0,0,0,0,168,422,0,0,0,0,0,590,NA,"PROSPECT PARK WEST , PARKSIDE AVENUE, BETWEEN FLATBUSH AVENUE, OCEAN AVENUE AND",PROSPECT PARK - CAROUSEL RECONSTRUCTION,cpd11-20bk.pdf
