project_id,project_description,managing_agency_id,managing_agency,ten_year_plan_category,community_boards_served,borough,budget_lines,original_budget,city_prior_actuals,city2021,city2022,city2023,city2024,city2025,city_r_t_c,city_total,non_city_prior_actuals,non_city2021,non_city2022,non_city2023,non_city2024,non_city2025,non_city_r_t_c,non_city_total,combined_prior_actuals,combined2021,combined2022,combined2023,combined2024,combined2025,combined_r_t_c,combined_total,explanation_for_delay,project_location,scope_summary,source_pdf
LB20DUMBO,ADAMS STREET LIBRARY FIT OUT,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,301,BROOKLYN,LB-0101 LB-0108 LB-0104,5000,0,5000,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,,NEW BRANCH FIT OUT,cpd11-20bk.pdf
LBC17DRBR,DYKER INTERIOR RENOVATION,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,310,BROOKLYN,LB-D104 LB-K001,1000,0,0,0,100,807,750,0,1657,0,0,0,0,0,0,0,0,0,0,0,100,807,750,0,1657,,,DYKER INTERIOR RENOVATION,cpd11-20bk.pdf
LBC18CTRF,CORTELYOU ROOF,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,314,BROOKLYN,LB-D104,850,0,0,0,0,1266,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,1266,0,0,1266,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,,CORTELYOU ROOF,cpd11-20bk.pdf
LBC18FHSG,FT HAMILTON ROOF,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,310,BROOKLYN,LB-D104,175,0,0,18,138,0,0,0,156,0,0,0,0,0,0,0,0,0,0,18,138,0,0,0,156,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,,FT HAMILTON ROOF,cpd11-20bk.pdf
LBC18GSMR,GRAVESEND MEETING ROOM,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,315,BROOKLYN,LB-D104,300,0,0,30,242,0,0,0,272,0,0,0,0,0,0,0,0,0,0,30,242,0,0,0,272,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,,GRAVESEND MEETING ROOM,cpd11-20bk.pdf
LBC18KBFS,KINGS BAY FIRE SAFETY,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,315,BROOKLYN,LB-D104,250,0,0,0,25,202,0,0,227,0,0,0,0,0,0,0,0,0,0,0,25,202,0,0,227,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,,KINGSBAY FIRE SAFETY,cpd11-20bk.pdf
LBC18KBHC,KINGS BAY BOILER,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,315,BROOKLYN,LB-D104,750,0,0,0,75,606,0,0,681,0,0,0,0,0,0,0,0,0,0,0,75,606,0,0,681,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,,KINGSBAY BOILER,cpd11-20bk.pdf
LBC19CHEL,Clinton Hill Wiring Upgrade,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,302,BROOKLYN,LB-D104,150,0,0,0,0,150,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,150,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,,CLINTON HILL WIRING UPGRADE.,cpd11-20bk.pdf
LBC20CTOP,CORTELYOU OUTDOOR PLAZA,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,314,BROOKLYN,LB-D104,350,0,0,0,0,350,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,350,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,,CORTELYOU OUTDOOR PLAZA,cpd11-20bk.pdf
LBC20MPMR,MCKINLEY PARK MEETING ROOM,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,310,BROOKLYN,LB-D104,250,0,0,0,250,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,250,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,,MCKINLEY PARK MEETING ROOM,cpd11-20bk.pdf
LBC20SAAD,STONE AVENUE ADA ACCESSIBILITY,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,316,BROOKLYN,LB-D104,400,0,0,0,0,400,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,400,,,STONE AVENUE ADA ACCESSIBILITY,cpd11-20bk.pdf
LBC20SCBM,SPRING CREEK BMS,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,305,BROOKLYN,LB-D104,150,0,0,0,0,150,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,150,,,SPRING CREEK BMS,cpd11-20bk.pdf
LBC21MNRF,MACOM ROOF REPLACEMENT,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,303,BROOKLYN,LB-D104,0,0,0,0,150,1191,0,0,1341,0,0,0,0,0,0,0,0,0,0,0,150,1191,0,0,1341,,,LIBRARY ROOF RENOVATION.,cpd11-20bk.pdf
LBCENPH2,CENTRAL RENOVATION - PHASE 2,038,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,301,BROOKLYN,LB-0104,26345,0,0,0,0,0,26345,0,26345,0,0,0,0,0,0,0,0,0,0,0,0,0,26345,0,26345,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,,CENTRAL RENOVATION - PHASE 2,cpd11-20bk.pdf
