project_id,milestone,original_start,original_end,current_start,current_end
LB20DUMBO,DESIGN,Jan 2019,Dec 2019,Jan 2021,Dec 2021
LB20DUMBO,CONSTRUCTION,Jan 2020,Jun 2020,Jan 2020,Jun 2020
LBC17DRBR,DESIGN,Jul 2020,Jun 2021,Jul 2020,Jun 2021
LBC17DRBR,CONSTRUCTION,Jul 2021,Dec 2021,Jul 2021,Dec 2021
LBC18CTRF,DESIGN,Jul 2019,Jun 2020,Jun 2022,May 2023
LBC18CTRF,CONSTRUCTION,Jun 2020,Dec 2020,Jun 2023,Nov 2023
LBC18FHSG,DESIGN,Jul 2019,Jun 2020,Jun 2022,May 2023
LBC18FHSG,CONSTRUCTION,Jun 2020,Dec 2020,Jun 2023,Nov 2023
LBC18GSMR,DESIGN,Jul 2019,Jun 2020,Jun 2022,Jun 2023
LBC18GSMR,CONSTRUCTION,Jun 2020,Dec 2020,Jun 2023,Dec 2023
LBC18KBFS,DESIGN,Jul 2019,Jun 2020,Jun 2022,Jun 2023
LBC18KBFS,CONSTRUCTION,Jun 2020,Dec 2020,Jun 2023,Dec 2023
LBC18KBHC,DESIGN,Jul 2019,Jun 2020,Jul 2021,Jun 2022
LBC18KBHC,CONSTRUCTION,Jun 2020,Dec 2020,Jul 2022,Dec 2022
LBC19CHEL,DESIGN,Sep 2019,Jun 2021,Sep 2023,Jun 2025
LBC19CHEL,CONSTRUCTION,Jul 2021,Jul 2022,Jul 2025,Jul 2026
LBC20CTOP,DESIGN,Jul 2020,Jun 2021,Jul 2022,Jun 2023
LBC20CTOP,CONSTRUCTION,Jul 2021,Dec 2021,Jul 2023,Dec 2023
LBC20MPMR,DESIGN,Jul 2020,Jun 2021,Jul 2022,Jun 2023
LBC20MPMR,CONSTRUCTION,Jul 2021,Dec 2021,Jul 2023,Dec 2023
LBC20SAAD,DESIGN,Jul 2020,Jun 2021,Jul 2020,Jun 2021
LBC20SAAD,CONSTRUCTION,Jul 2021,Dec 2021,Jul 2021,Dec 2021
LBC20SCBM,DESIGN,Jul 2020,Jun 2021,Jul 2020,Jun 2021
LBC20SCBM,CONSTRUCTION,Jul 2021,Dec 2021,Jul 2021,Dec 2021
LBCENPH2,DESIGN,Jul 2020,Jun 2021,Jul 2024,Jun 2025
LBCENPH2,CONSTRUCTION,Jul 2021,Dec 2021,Jul 2025,Dec 2025
LBEM05SWR,DESIGN,Sep 2019,Sep 2020,Sep 2024,Sep 2025
LBEM05SWR,CONSTRUCTION,Sep 2020,Jul 2022,Sep 2025,Jul 2027
LBK16HLRF,DESIGN,Sep 2019,Sep 2020,Sep 2021,Sep 2022
LBK16HLRF,CONSTRUCTION,Sep 2020,Mar 2021,Sep 2022,Mar 2023
LBK16SCRF,DESIGN,Sep 2019,Sep 2020,Sep 2019,Sep 2020
LBK16SCRF,CONSTRUCTION,Sep 2020,Jul 2022,Sep 2020,Jul 2022
LBM18NLOH,DESIGN,Jan 2020,Dec 2020,Jan 2020,Dec 2020
LBM18NLOH,CONSTRUCTION,Dec 2020,Jun 2023,Dec 2020,Jun 2023
LBM19BPLB,DESIGN,Sep 2019,Jun 2021,Sep 2019,Jun 2021
LBM19BPLB,CONSTRUCTION,Jul 2021,Dec 2021,Jul 2021,Dec 2021
LBM19CAOH,DESIGN,Jul 2020,Jun 2021,Jul 2020,Jun 2021
LBM19CAOH,CONSTRUCTION,Jul 2021,Jul 2023,Jul 2021,Jul 2023
LBP18BHBR,DESIGN,Jul 2020,Jun 2021,Jul 2020,Jun 2021
LBP18BHBR,CONSTRUCTION,Jul 2021,Jun 2021,Jul 2021,Jun 2021
LBP18LDIN,DESIGN,Jul 2020,Jun 2021,Jul 2024,Jun 2025
LBP18LDIN,CONSTRUCTION,Jul 2021,Jun 2024,Jul 2025,Jun 2028
LBP18PCAD,DESIGN,Jul 2020,Jun 2021,Jun 2024,Jun 2025
LBP18PCAD,CONSTRUCTION,Jul 2021,Jul 2022,Jun 2025,Jun 2026
BY001-021,DEVELOP SCOPE,Jun 2021,Sep 2021,Jun 2021,Sep 2021
BY001-021,PRELIMINARY DESIGN,Sep 2021,Jan 2022,Sep 2021,Jan 2022
BY001-021,FINAL DESIGN,Jan 2022,Jul 2022,Jan 2022,Jul 2022
BY001-021,BID AWARD AND REGISTER CONTRCT,Jul 2022,Oct 2022,Jul 2022,Oct 2022
BY001-021,CONSTRUCTION TO 25%,Oct 2022,Feb 2023,Oct 2022,Feb 2023
BY001-021,CONSTRUCTION TO 50%,Feb 2023,Jun 2023,Feb 2023,Jun 2023
BY001-021,CONSTRUCTION TO 75%,Jun 2023,Oct 2023,Jun 2023,Oct 2023
BY001-021,ORIGINAL EQUIP & FURNISHING,Oct 2023,Jan 2024,Oct 2023,Jan 2024
BY001-021,SUBSTANTIAL COMPLETION,Jan 2024,Mar 2024,Jan 2024,Mar 2024
BY001-021,"PUNCHLIST COMPLETE, JOB CLOSED",Mar 2024,Apr 2024,Mar 2024,Apr 2024
BY003-021,DEVELOP SCOPE,Jun 2021,Sep 2021,Jun 2021,Sep 2021
BY003-021,PRELIMINARY DESIGN,Sep 2021,Jan 2022,Sep 2021,Jan 2022
BY003-021,FINAL DESIGN,Jan 2022,Jul 2022,Jan 2022,Jul 2022
BY003-021,BID AWARD AND REGISTER CONTRCT,Jul 2022,Oct 2022,Jul 2022,Oct 2022
BY003-021,CONSTRUCTION TO 25%,Oct 2022,Feb 2023,Oct 2022,Feb 2023
BY003-021,CONSTRUCTION TO 50%,Feb 2023,Jun 2023,Feb 2023,Jun 2023
BY003-021,CONSTRUCTION TO 75%,Jun 2023,Oct 2023,Jun 2023,Oct 2023
BY003-021,ORIGINAL EQUIP & FURNISHING,Oct 2023,Jan 2024,Oct 2023,Jan 2024
BY003-021,SUBSTANTIAL COMPLETION,Jan 2024,Mar 2024,Jan 2024,Mar 2024
BY003-021,"PUNCHLIST COMPLETE, JOB CLOSED",Mar 2024,Apr 2024,Mar 2024,Apr 2024
