remote ,booth,complex_id,station,line_name,division
R001,A060,635,WHITEHALL ST,R1,BMT
R001,A058,635,WHITEHALL ST,R1,BMT
R001,R101S,635,SOUTH FERRY,R1,IRT
R002,A077,628,FULTON ST,ACJZ2345,BMT
R002,A081,628,FULTON ST,ACJZ2345,BMT
R002,A082,628,FULTON ST,ACJZ2345,BMT
R003,J025,86,CYPRESS HILLS,J,BMT
R004,J028,85,ELDERTS LANE,JZ,BMT
R005,J030,84,FOREST PARKWAY,J,BMT
R006,J031,83,WOODHAVEN BLVD,JZ,BMT
R006,J032,83,WOODHAVEN BLVD,JZ,BMT
R007,J034,82,104 ST,JZ,BMT
R008,J035,81,111 ST,J,BMT
R009,J037,80,121 ST,JZ,BMT
R010,N062A,611,42 ST-PA BUS TE,ACENQRS1237,IND
R010,N060,611,42 ST-PA BUS TE,ACENQRS1237,IND
R011,N063A,611,42 ST-PA BUS TE,ACENQRS1237,IND
R011,N062,611,42 ST-PA BUS TE,ACENQRS1237,IND
R011,N063,611,42 ST-PA BUS TE,ACENQRS1237,IND
R012,N067,164,34 ST-PENN STA,ACE,IND
R012,N065,164,34 ST-PENN STA,ACE,IND
R012,N068,164,34 ST-PENN STA,ACE,IND
R012,N070,164,34 ST-PENN STA,ACE,IND
R012,N072,164,34 ST-PENN STA,ACE,IND
R013,N071,164,34 ST-PENN STA,ACE,IND
R013,N069,164,34 ST-PENN STA,ACE,IND
R013,N073,164,34 ST-PENN STA,ACE,IND
R014,N095,628,FULTON ST,ACJZ2345,IND
R014,R205,628,FULTON ST,ACJZ2345,IRT
R014,R206,628,FULTON ST,2345ACJZ,IRT
R014,R208,628,FULTON ST,2345ACJZ,IRT
R014,R205A,628,FULTON ST,2345ACJZ,IRT
R015,N303,276,5 AVE-53 ST,EM,IND
R015,N304,276,5 AVE-53 ST,EM,IND
R016,N305A,613,LEXINGTON-53 ST,EM6,IND
R017,N306,613,LEXINGTON-53 ST,EM6,IND
R017,N305,613,LEXINGTON-53 ST,EM6,IND
R018,N324,616,ROOSEVELT AVE,EFMR7,IND
R018,N323,616,ROOSEVELT AVE,EFMR7,IND
R018,R525,616,74 ST-BROADWAY,EFMR7,IRT
R019,N343,254,JAMAICA-179 ST,F,IND
R019,N342,254,JAMAICA-179 ST,F,IND
R020,N500,225,47-50 ST-ROCK,BDFM,IND
R020,N501,225,47-50 ST-ROCK,BDFM,IND
R020,N501A,225,47-50 ST-ROCK,BDFM,IND
R021,N503,609,42 ST-BRYANT PK,BDFM7,IND
R021,N502,609,42 ST-BRYANT PK,BDFM7,IND
R021,N504,609,42 ST-BRYANT PK,BDFM7,IND
R022,N506,607,34 ST-HERALD SQ,BDFMNQR,IND
R022,A022,607,34 ST-HERALD SQ,BDFMNQR,BMT
R022,N505,607,34 ST-HERALD SQ,BDFMNQR,IND
R023,N507,607,34 ST-HERALD SQ,BDFMNQR,IND
R023,A025,607,34 ST-HERALD SQ,BDFMNQR,BMT
R024,N605,279,SUTPHIN BLVD,EJZ,IND
R025,N606,278,JAMAICA CENTER,EJZ,IND
R025,N607,278,JAMAICA CENTER,EJZ,IND
R027,R111,333,WALL ST,23,IRT
R027,R110,333,WALL ST,23,IRT
R027,R112,333,WALL ST,23,IRT
R027,R112A,333,WALL ST,23,IRT
R028,R113A,628,FULTON ST,2345ACJZ,IRT
R028,R113,628,FULTON ST,2345ACJZ,IRT
R028,R114,628,FULTON ST,2345ACJZ,IRT
R029,R115,624,PARK PLACE,23ACE,IRT
R029,N094,624,WORLD TRADE CTR,23ACE,IND
R029,N091,624,CHAMBERS ST,ACE23,IND
R029,N092,624,CHAMBERS ST,ACE23,IND
R030,R116,327,CHAMBERS ST,123,IRT
R031,R141,318,34 ST-PENN STA,123,IRT
R031,R135,318,34 ST-PENN STA,123,IRT
R031,R137,318,34 ST-PENN STA,123,IRT
R031,R139,318,34 ST-PENN STA,123,IRT
R032,R145,611,42 ST-TIMES SQ,1237ACENQRS,IRT
R032,A021,611,42 ST-TIMES SQ,1237ACENQRS,BMT
R032,R143,611,42 ST-TIMES SQ,ACENQRS1237,IRT
R032,R146,611,42 ST-TIMES SQ,1237ACENQRS,IRT
R033,R151,611,42 ST-TIMES SQ,1237ACENQRS,IRT
R033,R148,611,42 ST-TIMES SQ,1237ACENQRS,IRT
R033,R150,611,42 ST-TIMES SQ,1237ACENQRS,IRT
R033,R153,611,42 ST-TIMES SQ,1237ACENQRS,IRT
R033,R147,611,42 ST-TIMES SQ,1237ACENQRS,IRT
R034,R174,306,125 ST,1,IRT
R035,R182,605,168 ST-BROADWAY,1AC,IRT
R035,N012,605,168 ST-BROADWAY,1AC,IND
R035,N013,605,168 ST-BROADWAY,AC1,IND
R036,R186,299,DYCKMAN ST,1,IRT
R037,R188,298,207 ST,1,IRT
R038,R190,297,215 ST,1,IRT
R039,R192,296,MARBLE HILL-225,1,IRT
R040,R194,295,231 ST,1,IRT
R041,R201,414,BOWLING GREEN,45,IRT
R041,R200A,414,BOWLING GREEN,45,IRT
R042,R202,414,BOWLING GREEN,45,IRT
R043,R203,413,WALL ST,45,IRT
R043,R203A,413,WALL ST,45,IRT
R043,R204,413,WALL ST,45,IRT
R043,R204A,413,WALL ST,45,IRT
R044,R210,622,BROOKLYN BRIDGE,456JZ,IRT
R044,A069,622,CHAMBERS ST,456JZ,BMT
R044,A071,622,CHAMBERS ST,JZ456,BMT
R044,R210A,622,BROOKLYN BRIDGE,JZ456,IRT
R045,R236,610,42 ST-GRD CNTRL,4567S,IRT
R045,R233,610,42 ST-GRD CNTRL,4567S,IRT
R046,R238,610,42 ST-GRD CNTRL,4567S,IRT
R046,R237,610,42 ST-GRD CNTRL,4567S,IRT
R046,R238A,610,42 ST-GRD CNTRL,4567S,IRT
R047,R240,610,42 ST-GRD CNTRL,4567S,IRT
R047,R237B,610,42 ST-GRD CNTRL,4567S,IRT
