"ogc_fid","station id","complex id","gtfs stop id","division","line","stop name","borough","daytime routes","structure","gtfs latitude","gtfs longitude","north direction label","south direction label"
1,1,"1","R01","BMT","Astoria","Astoria - Ditmars Blvd","Q","N W","Elevated","40.775036","-73.912034","","Manhattan"
2,2,"2","R03","BMT","Astoria","Astoria Blvd","Q","N W","Elevated","40.770258","-73.917843","Ditmars Blvd","Manhattan"
3,3,"3","R04","BMT","Astoria","30 Av","Q","N W","Elevated","40.766779","-73.921479","Astoria - Ditmars Blvd","Manhattan"
4,4,"4","R05","BMT","Astoria","Broadway","Q","N W","Elevated","40.76182","-73.925508","Astoria - Ditmars Blvd","Manhattan"
5,5,"5","R06","BMT","Astoria","36 Av","Q","N W","Elevated","40.756804","-73.929575","Astoria - Ditmars Blvd","Manhattan"
6,6,"6","R08","BMT","Astoria","39 Av","Q","N W","Elevated","40.752882","-73.932755","Astoria - Ditmars Blvd","Manhattan"
7,7,"613","R11","BMT","Astoria","Lexington Av/59 St","M","N W R","Subway","40.76266","-73.967258","Queens","Downtown & Brooklyn"
8,8,"8","R13","BMT","Astoria","5 Av/59 St","M","N W R","Subway","40.764811","-73.973347","Queens","Downtown & Brooklyn"
9,9,"9","R14","BMT","Broadway - Brighton","57 St - 7 Av","M","N Q R W","Subway","40.764664","-73.980658","Uptown & Queens","Downtown & Brooklyn"
10,10,"10","R15","BMT","Broadway - Brighton","49 St","M","N R W","Subway","40.759901","-73.984139","Uptown & Queens","Downtown & Brooklyn"
11,11,"611","R16","BMT","Broadway - Brighton","Times Sq - 42 St","M","N Q R W","Subway","40.754672","-73.986754","Uptown & Queens","Downtown & Brooklyn"
12,12,"607","R17","BMT","Broadway - Brighton","34 St - Herald Sq","M","N Q R W","Subway","40.749567","-73.98795","Uptown & Queens","Downtown & Brooklyn"
13,13,"13","R18","BMT","Broadway - Brighton","28 St","M","R W","Subway","40.745494","-73.988691","Uptown & Queens","Downtown & Brooklyn"
