complex_id,monthly_mean_2019,entries_10_2020,pct_normal_10_2020,gtfs_longitude,gtfs_latitude,stop_name,borough,division,daytime_routes
1,444045.4166666667,148187,33.37,-73.912034,40.775036,Astoria - Ditmars Blvd,Q,BMT,N W
100,93861.66666666667,33410,35.59,-73.953431,40.70687,Hewes St,Bk,BMT,J M
101,394769.3333333333,122679,31.08,-73.957757,40.708359,Marcy Av,Bk,BMT,J M Z
103,112003.58333333333,33167,29.61,-73.993915,40.72028,Bowery,M,BMT,J Z
107,186038.66666666666,42614,22.91,-74.011056,40.706476,Broad St,M,BMT,J Z
108,93171.5,47836,51.34,-73.889601,40.711396,Middle Village - Metropolitan Av,Q,BMT,M
109,150905,71578,47.43,-73.895877,40.706186,Fresh Pond Rd,Q,BMT,M
110,110209.91666666667,50825,46.12,-73.903077,40.704423,Forest Av,Q,BMT,M
111,90552.66666666667,34863,38.5,-73.90774,40.702762,Seneca Av,Q,BMT,M
113,129059.58333333333,47360,36.7,-73.919711,40.698664,Knickerbocker Av,Bk,BMT,M
114,123179.33333333333,40493,32.87,-73.927397,40.697857,Central Av,Bk,BMT,M
118,142944.16666666666,57306,40.09,-73.986122,40.732849,3 Av,M,BMT,L
119,448087.3333333333,194031,43.3,-73.981628,40.730953,1 Av,M,BMT,L
120,655196.3333333334,241268,36.82,-73.956872,40.717304,Bedford Av,Bk,BMT,L
122,226547.33333333334,76851,33.92,-73.944053,40.714565,Graham Av,Bk,BMT,L
123,157431.83333333334,68541,43.54,-73.94067,40.711926,Grand St,Bk,BMT,L
124,162319.41666666666,64279,39.6,-73.93985,40.707739,Montrose Av,Bk,BMT,L
125,175931.83333333334,66987,38.08,-73.933147,40.706152,Morgan Av,Bk,BMT,L
126,187315.5,70830,37.81,-73.922913,40.706607,Jefferson St,Bk,BMT,L
127,274958.25,129374,47.05,-73.918425,40.703811,DeKalb Av,Bk,BMT,L
129,183419.58333333334,81991,44.7,-73.904084,40.695602,Halsey St,Q,BMT,L
13,335533,69317,20.66,-73.988691,40.745494,28 St,M,BMT,R W
130,109497.41666666667,48255,44.07,-73.904046,40.688764,Wilson Av,Bk,BMT,L
131,50819.416666666664,25646,50.46,-73.905249,40.682829,Bushwick Av - Aberdeen St,Bk,BMT,L
133,41516,20967,50.5,-73.903097,40.675345,Atlantic Av,Bk,BMT,L
134,88834.33333333333,36039,40.57,-73.901975,40.669367,Sutter Av,Bk,BMT,L
135,72760.33333333333,36253,49.83,-73.900571,40.664038,Livonia Av,Bk,BMT,L
136,106213.58333333333,47925,45.12,-73.899232,40.658733,New Lots Av,Bk,BMT,L
137,86027.08333333333,36993,43,-73.899485,40.650573,E 105 St,Bk,BMT,L
138,282883.0833333333,113285,40.05,-73.90185,40.646654,Canarsie - Rockaway Pkwy,Bk,BMT,L
14,592271.75,110058,18.58,-73.989344,40.741303,23 St,M,BMT,R W
141,43674.25,15768,36.1,-73.957624,40.674772,Park Pl,Bk,BMT,S
143,270967.8333333333,93733,34.59,-73.919899,40.868072,Inwood - 207 St,M,IND,A
144,187863,67937,36.16,-73.927271,40.865491,Dyckman St,M,IND,A
145,128440.25,29146,22.69,-73.93418,40.859022,190 St,M,IND,A
146,285357.1666666667,101160,35.45,-73.937969,40.851695,181 St,M,IND,A
147,350809.0833333333,114771,32.72,-73.939704,40.847391,175 St,M,IND,A
149,116500.16666666667,42475,36.46,-73.939892,40.836013,163 St - Amsterdam Av,M,IND,C
150,75696.08333333333,25929,34.25,-73.941514,40.830518,155 St,M,IND,C
151,623647.0833333334,216576,34.73,-73.944216,40.824783,145 St,M,IND,A C
152,147361.66666666666,49343,33.48,-73.947649,40.817894,135 St,M,IND,B C
153,775957,280317,36.13,-73.952343,40.811109,125 St,M,IND,A B C D
154,192558.5,59348,30.82,-73.954882,40.805085,116 St,M,IND,B C
155,200781.25,64361,32.06,-73.958161,40.800603,Cathedral Pkwy (110 St),M,IND,B C
156,125779.58333333333,40578,32.26,-73.961454,40.796092,103 St,M,IND,B C
157,254762.33333333334,86885,34.1,-73.964696,40.791642,96 St,M,IND,B C
158,269884.0833333333,83192,30.83,-73.968916,40.785868,86 St,M,IND,B C
159,368021.8333333333,83089,22.58,-73.972143,40.781433,81 St - Museum of Natural History,M,IND,B C
16,456019.75,83918,18.4,-73.992629,40.730328,8 St - NYU,M,BMT,R W
160,237814.5,64060,26.94,-73.97641,40.775594,72 St,M,IND,B C
162,582944.4166666666,97125,16.66,-73.985984,40.762456,50 St,M,IND,C E
164,3477776.25,478866,13.77,-73.993391,40.752287,34 St - Penn Station,M,IND,A C E
